feature,coefficient,direction,absolute_coefficient,interpretation
numeric__hist_7d_disconnection_cnt_sum,2.603180603998022,raises score,2.603180603998022,Higher values increase predicted persistent degradation risk.
numeric__meter_28d_read_rate_mean,2.281137377254618,raises score,2.281137377254618,Higher values increase predicted persistent degradation risk.
numeric__hist_7d_reboot_cnt_std,2.011607095694746,raises score,2.011607095694746,Higher values increase predicted persistent degradation risk.
numeric__hist_28d_disconnection_cnt_sum,1.8156428570390564,raises score,1.8156428570390564,Higher values increase predicted persistent degradation risk.
numeric__meter_7d_read_rate_mean,-1.8029260731758812,lowers score,1.8029260731758812,Higher values decrease predicted persistent degradation risk.
numeric__hist_7d_disconnection_cnt_std,1.7214926190803572,raises score,1.7214926190803572,Higher values increase predicted persistent degradation risk.
numeric__hist_7d_rssi_good_mean,-1.6670422789485473,lowers score,1.6670422789485473,Higher values decrease predicted persistent degradation risk.
numeric__hist_14d_disconnection_cnt_median,1.569677306132138,raises score,1.569677306132138,Higher values increase predicted persistent degradation risk.
numeric__trend_reboot_cnt_recent_minus_older,1.5261658228944703,raises score,1.5261658228944703,Higher values increase predicted persistent degradation risk.
numeric__hist_28d_rssi_good_mean,1.4721267267506222,raises score,1.4721267267506222,Higher values increase predicted persistent degradation risk.
numeric__hist_14d_duplicate_rate,-1.274009337367703,lowers score,1.274009337367703,Higher values decrease predicted persistent degradation risk.
numeric__hist_7d_offline_duration_sec_sum,1.2646097462306993,raises score,1.2646097462306993,Higher values increase predicted persistent degradation risk.
numeric__hist_14d_duplicate_rows,1.2575983253104697,raises score,1.2575983253104697,Higher values increase predicted persistent degradation risk.
numeric__hist_14d_ecio_rsrq_good_mean,1.208455944959272,raises score,1.208455944959272,Higher values increase predicted persistent degradation risk.
numeric__hist_28d_disconnection_cnt_median,1.1894671152712308,raises score,1.1894671152712308,Higher values increase predicted persistent degradation risk.
numeric__hist_7d_observed_hours,-1.1585008805894013,lowers score,1.1585008805894013,Higher values decrease predicted persistent degradation risk.
numeric__hist_14d_rssi_normal_mean,-1.1248911346386656,lowers score,1.1248911346386656,Higher values decrease predicted persistent degradation risk.
numeric__hist_14d_disconnection_cnt_sum,1.1047178430080813,raises score,1.1047178430080813,Higher values increase predicted persistent degradation risk.
numeric__hist_7d_offline_duration_sec_std,1.0576585331215318,raises score,1.0576585331215318,Higher values increase predicted persistent degradation risk.
numeric__trend_disconnection_cnt_recent_minus_older,1.044589776329376,raises score,1.044589776329376,Higher values increase predicted persistent degradation risk.
numeric__hist_14d_reboot_cnt_std,1.0364247769241044,raises score,1.0364247769241044,Higher values increase predicted persistent degradation risk.
numeric__hist_7d_ecio_rsrq_good_mean,-0.9793278533965084,lowers score,0.9793278533965084,Higher values decrease predicted persistent degradation risk.
numeric__hist_7d_reboot_cnt_sum,0.8907426802586335,raises score,0.8907426802586335,Higher values increase predicted persistent degradation risk.
numeric__hist_7d_disconnection_cnt_mean,0.8811538649619011,raises score,0.8811538649619011,Higher values increase predicted persistent degradation risk.
numeric__hist_14d_offline_duration_sec_sum,-0.8374731103117703,lowers score,0.8374731103117703,Higher values decrease predicted persistent degradation risk.
numeric__hist_14d_offline_duration_sec_median,-0.812815173653943,lowers score,0.812815173653943,Higher values decrease predicted persistent degradation risk.
numeric__hist_28d_ecio_rsrq_normal_mean,-0.7478970476048541,lowers score,0.7478970476048541,Higher values decrease predicted persistent degradation risk.
numeric__hist_14d_disconnection_cnt_std,-0.694325898856677,lowers score,0.694325898856677,Higher values decrease predicted persistent degradation risk.
numeric__hist_28d_ecio_rsrq_bad_mean,0.6726211641595827,raises score,0.6726211641595827,Higher values increase predicted persistent degradation risk.
numeric__hist_28d_offline_duration_sec_max,0.6407657614810985,raises score,0.6407657614810985,Higher values increase predicted persistent degradation risk.
numeric__hist_28d_reboot_cnt_std,0.6386197797466695,raises score,0.6386197797466695,Higher values increase predicted persistent degradation risk.
numeric__hist_14d_offline_duration_sec_max,-0.6312034271411153,lowers score,0.6312034271411153,Higher values decrease predicted persistent degradation risk.
numeric__hist_7d_rssi_normal_mean,0.6222776924255758,raises score,0.6222776924255758,Higher values increase predicted persistent degradation risk.
numeric__hist_28d_reboot_cnt_max,0.6161775968917622,raises score,0.6161775968917622,Higher values increase predicted persistent degradation risk.
numeric__hist_28d_observed_hours,-0.6125418141599874,lowers score,0.6125418141599874,Higher values decrease predicted persistent degradation risk.
numeric__hist_28d_rssi_normal_mean,0.582105640558574,raises score,0.582105640558574,Higher values increase predicted persistent degradation risk.
numeric__hist_28d_disconnection_cnt_std,-0.5662318127777531,lowers score,0.5662318127777531,Higher values decrease predicted persistent degradation risk.
numeric__hist_14d_disconnection_cnt_max,0.553186361728047,raises score,0.553186361728047,Higher values increase predicted persistent degradation risk.
numeric__hist_28d_offline_duration_sec_std,-0.5508049322080417,lowers score,0.5508049322080417,Higher values decrease predicted persistent degradation risk.
numeric__hist_14d_rssi_bad_mean,-0.5306739496989311,lowers score,0.5306739496989311,Higher values decrease predicted persistent degradation risk.
numeric__hist_14d_ecio_rsrq_normal_mean,0.5164719172473924,raises score,0.5164719172473924,Higher values increase predicted persistent degradation risk.
numeric__hist_7d_disconnection_cnt_max,-0.5156485181878856,lowers score,0.5156485181878856,Higher values decrease predicted persistent degradation risk.
numeric__hist_28d_disconnection_cnt_max,-0.5073005005448663,lowers score,0.5073005005448663,Higher values decrease predicted persistent degradation risk.
categorical__hw_model_GW-8800X,-0.5051596274272178,lowers score,0.5051596274272178,Higher values decrease predicted persistent degradation risk.
numeric__hist_14d_offline_duration_sec_mean,-0.49581174779860787,lowers score,0.49581174779860787,Higher values decrease predicted persistent degradation risk.
numeric__hist_14d_observed_hours,0.4880743683136756,raises score,0.4880743683136756,Higher values increase predicted persistent degradation risk.
categorical__hw_model_GW-2100L,0.47802990594948813,raises score,0.47802990594948813,Higher values increase predicted persistent degradation risk.
numeric__trend_offline_duration_sec_recent_minus_older,-0.47114073879926216,lowers score,0.47114073879926216,Higher values decrease predicted persistent degradation risk.
numeric__hist_7d_rssi_bad_mean,0.44769533201020895,raises score,0.44769533201020895,Higher values increase predicted persistent degradation risk.
categorical__site_type_Schaltschrank,0.43589014639820073,raises score,0.43589014639820073,Higher values increase predicted persistent degradation risk.
numeric__hist_7d_observed_days,0.4267114713189299,raises score,0.4267114713189299,Higher values increase predicted persistent degradation risk.
categorical__antenna_type_Yagi 9dBi,0.4196147670090437,raises score,0.4196147670090437,Higher values increase predicted persistent degradation risk.
numeric__hist_7d_reboot_cnt_mean,0.36600867020587236,raises score,0.36600867020587236,Higher values increase predicted persistent degradation risk.
categorical__region_Bayern,-0.3635931758834085,lowers score,0.3635931758834085,Higher values decrease predicted persistent degradation risk.
numeric__hist_7d_ecio_rsrq_bad_mean,-0.35852666218521545,lowers score,0.35852666218521545,Higher values decrease predicted persistent degradation risk.
categorical__tenant_tenant_a,0.3518941185352307,raises score,0.3518941185352307,Higher values increase predicted persistent degradation risk.
numeric__hist_28d_reboot_cnt_mean,-0.347715167186408,lowers score,0.347715167186408,Higher values decrease predicted persistent degradation risk.
