week_start,unnecessary_visits,missed_targets,positives,selected,cost,evaluation
2026-01-05,0,59,74,15,35400,logistic_validation
2026-01-12,0,48,63,15,28800,logistic_validation
2026-01-19,0,56,71,15,33600,logistic_validation
2026-01-26,0,54,69,15,32400,logistic_validation
2026-01-05,8,67,74,15,43240,baseline_validation
2026-01-12,10,58,63,15,38600,baseline_validation
2026-01-19,8,64,71,15,41440,baseline_validation
2026-01-26,11,65,69,15,43180,baseline_validation
2026-02-02,0,49,64,15,29400,logistic_test
2026-02-09,0,55,70,15,33000,logistic_test
2026-02-16,0,51,66,15,30600,logistic_test
2026-02-23,0,63,78,15,37800,logistic_test
2026-03-02,0,61,76,15,36600,logistic_test
2026-03-09,0,52,67,15,31200,logistic_test
2026-03-16,0,56,71,15,33600,logistic_test
2026-03-23,0,64,79,15,38400,logistic_test
2026-02-02,8,57,64,15,37240,baseline_test
2026-02-09,8,63,70,15,40840,baseline_test
2026-02-16,7,58,66,15,37460,baseline_test
2026-02-23,6,69,78,15,43680,baseline_test
2026-03-02,6,67,76,15,42480,baseline_test
2026-03-09,8,60,67,15,39040,baseline_test
2026-03-16,7,63,71,15,40460,baseline_test
2026-03-23,10,74,79,15,48200,baseline_test
2026-02-02,8,0,1,9,3040,logistic_unseen_gateway_test
2026-02-09,12,0,2,14,4560,logistic_unseen_gateway_test
2026-02-16,11,0,4,15,4180,logistic_unseen_gateway_test
2026-02-23,10,0,5,15,3800,logistic_unseen_gateway_test
2026-03-02,9,0,6,15,3420,logistic_unseen_gateway_test
2026-03-09,9,1,7,15,4020,logistic_unseen_gateway_test
2026-03-16,8,1,8,15,3640,logistic_unseen_gateway_test
2026-03-23,6,0,9,15,2280,logistic_unseen_gateway_test
